title,category,price_gbp,rating,availability,book_url
It's Only the Himalayas,Travel,45.17,2,True,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,4,True,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,3,True,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,2,True,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html
Under the Tuscan Sun,Travel,37.33,3,True,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html
A Summer In Europe,Travel,44.34,2,True,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html
The Great Railway Bazaar,Travel,30.54,1,True,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html
A Year in Provence (Provence #1),Travel,56.88,4,True,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,1,True,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html
Neither Here nor There: Travels in Europe,Travel,38.95,3,True,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html
"1,000 Places to See Before You Die",Travel,26.08,5,True,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html
Sharp Objects,Mystery,47.82,4,True,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
"In a Dark, Dark Wood",Mystery,19.63,1,True,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
The Past Never Ends,Mystery,56.5,4,True,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
A Murder in Time,Mystery,16.64,1,True,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4,True,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
The Last Mile (Amos Decker #2),Mystery,54.21,2,True,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html
That Darkness (Gardiner and Renner #1),Mystery,13.92,1,True,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1,True,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html
A Time of Torment (Charlie Parker #14),Mystery,48.35,5,True,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,2,True,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html
Poisonous (Max Revere Novels #3),Mystery,26.8,3,True,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,4,True,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
Most Wanted,Mystery,35.28,3,True,https://books.toscrape.com/catalogue/most-wanted_623/index.html
Hide Away (Eve Duncan #20),Mystery,11.84,1,True,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
Boar Island (Anna Pigeon #19),Mystery,59.48,3,True,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html
The Widow,Mystery,27.26,2,True,https://books.toscrape.com/catalogue/the-widow_609/index.html
Playing with Fire,Mystery,13.71,3,True,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,5,True,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
